variable,window,product,pipeline_id,metric,value,note
tasmin,validation_2006_2014,GridMET,,seasonal_range_domain_mean,28.915283203125,
tasmin,validation_2006_2014,GridMET,,pooled_skew,-0.3625407814979553,
tasmin,validation_2006_2014,GridMET,,pooled_cv,0.04232650622725487,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,139.89999389648438,
tasmin,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,-24.463069915771484,
tasmin,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,24.144615173339844,
tasmin,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.9613708992804596,
tasmin,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,31.7828311920166,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,-0.37974491715431213,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,2.847616195678711,
tasmin,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,-0.001567217286783773,
tasmin,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,272.6770324707031,
tasmin,validation_2006_2014,DOR,test8_v2,pooled_variance,135.2756805419922,
tasmin,validation_2006_2014,DOR,test8_v2,p01_pooled,249.27174377441406,
tasmin,validation_2006_2014,DOR,test8_v2,p99_pooled,297.1040954589844,
tasmin,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.9601487915303825,
tasmin,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,30.491912841796875,
tasmin,validation_2006_2014,DOR,test8_v2,pooled_skew,-0.3591447174549103,
tasmin,validation_2006_2014,DOR,test8_v2,pooled_cv,0.0419379360973835,
tasmin,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.8186424961419381,
tasmin,validation_2006_2014,DOR,test8_v3,pooled_variance,135.2756805419922,
tasmin,validation_2006_2014,DOR,test8_v3,p01_pooled,249.27174377441406,
tasmin,validation_2006_2014,DOR,test8_v3,p99_pooled,297.1040954589844,
tasmin,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.9601487915303825,
tasmin,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,30.491912841796875,
tasmin,validation_2006_2014,DOR,test8_v3,pooled_skew,-0.3591447174549103,
tasmin,validation_2006_2014,DOR,test8_v3,pooled_cv,0.0419379360973835,
tasmin,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.8186424961419381,
tasmin,validation_2006_2014,DOR,test8_v4,pooled_variance,135.2756805419922,
tasmin,validation_2006_2014,DOR,test8_v4,p01_pooled,249.27174377441406,
tasmin,validation_2006_2014,DOR,test8_v4,p99_pooled,297.1040954589844,
tasmin,validation_2006_2014,DOR,test8_v4,lag1_domain_mean,0.9601487915303825,
tasmin,validation_2006_2014,DOR,test8_v4,seasonal_range_domain_mean,30.491912841796875,
tasmin,validation_2006_2014,DOR,test8_v4,pooled_skew,-0.3591447174549103,
tasmin,validation_2006_2014,DOR,test8_v4,pooled_cv,0.0419379360973835,
tasmin,validation_2006_2014,DOR,test8_v4,KGE_vs_GridMET,0.8186424961419381,
tasmin,validation_2006_2014,LOCA2,,pooled_variance,140.48545837402344,
tasmin,validation_2006_2014,LOCA2,,p01_pooled,249.03057861328125,
tasmin,validation_2006_2014,LOCA2,,p99_pooled,297.52386474609375,
tasmin,validation_2006_2014,LOCA2,,lag1_domain_mean,0.9597045616273384,
tasmin,validation_2006_2014,LOCA2,,seasonal_range_domain_mean,30.451446533203125,
tasmin,validation_2006_2014,LOCA2,,pooled_skew,-0.361370325088501,
tasmin,validation_2006_2014,LOCA2,,pooled_cv,0.042767636477947235,
tasmin,validation_2006_2014,LOCA2,,KGE_vs_GridMET,0.8027048654785592,
tasmin,validation_2006_2014,NEX,,pooled_variance,142.85791015625,
tasmin,validation_2006_2014,NEX,,p01_pooled,248.55128479003906,
tasmin,validation_2006_2014,NEX,,p99_pooled,298.8978271484375,
tasmin,validation_2006_2014,NEX,,lag1_domain_mean,0.939007953582923,
tasmin,validation_2006_2014,NEX,,seasonal_range_domain_mean,30.349029541015625,
tasmin,validation_2006_2014,NEX,,pooled_skew,-0.37488430738449097,
tasmin,validation_2006_2014,NEX,,pooled_cv,0.04304691031575203,
tasmin,validation_2006_2014,NEX,,KGE_vs_GridMET,0.7902251484340933,
rsds,validation_2006_2014,GridMET,,pooled_variance,7094.95458984375,
rsds,validation_2006_2014,GridMET,,p01_pooled,33.7400016784668,
rsds,validation_2006_2014,GridMET,,p99_pooled,322.7120056152344,
rsds,validation_2006_2014,GridMET,,lag1_domain_mean,0.9231820626127988,
rsds,validation_2006_2014,GridMET,,seasonal_range_domain_mean,211.358154296875,
rsds,validation_2006_2014,GridMET,,pooled_skew,0.1335153728723526,
rsds,validation_2006_2014,GridMET,,pooled_cv,0.48036882281303406,
